id,titre,prix,localisation,date_creation_iso,date_creation_formatee,date_creation_jour,jours_ecoules
93614669,Paris 10e - 124 m² - 6 pièces - 4 chambres,1 625 000 €,Metro Gare de l'Est · Passerelle Michèle Morgan,2025-11-14T10:28:38.000Z,2025-11-14 10:28:38,2025-11-14,23
93495044,Paris 19e - 31 m² - 1 pièces,327 000 €,Metro Place des Fêtes · 56 Rue de la Villette,2025-11-14T10:23:05.000Z,2025-11-14 10:23:05,2025-11-14,23
93284343,Paris 6e - 80 m² - 4 pièces - 3 chambres,1 280 000 €,Metro Notre-Dame des Champs · Rue Auguste Comte,2025-11-14T10:15:38.000Z,2025-11-14 10:15:38,2025-11-14,23
93613962,Paris 7e - 42 m² - 2 pièces - 1 chambres,699 000 €,Metro Rue du Bac,2025-11-14T10:12:10.000Z,2025-11-14 10:12:10,2025-11-14,23
93576832,Paris 20e - 56 m² - 3 pièces - 2 chambres,570 000 €,Metro Télégraphe · 125 Rue Pelleport,2025-11-14T09:58:04.000Z,2025-11-14 09:58:04,2025-11-14,23
93613411,Paris 15e - 63 m² - 3 pièces - 2 chambres,620 000 €,Metro Vaugirard · 11 Rue Ferdinand Fabre,2025-11-14T09:55:35.000Z,2025-11-14 09:55:35,2025-11-14,23
93613235,Paris 6e - 36 m² - 2 pièces - 1 chambres,629 000 €,Paris 6e (75006),2025-11-14T09:49:26.000Z,2025-11-14 09:49:26,2025-11-14,23
93612402,Paris 11e - 100 m² - 4 pièces - 3 chambres,990 000 €,Metro Filles du Calvaire · 5 Rue Alphonse Baudin,2025-11-14T09:28:13.000Z,2025-11-14 09:28:13,2025-11-14,23
93612366,Paris 11e - 73 m² - 3 pièces - 2 chambres,610 000 €,Metro Père-Lachaise,2025-11-14T09:26:58.000Z,2025-11-14 09:26:58,2025-11-14,23
93612365,Paris 20e - 73 m² - 3 pièces - 2 chambres,610 000 €,Paris 20e (75020),2025-11-14T09:26:58.000Z,2025-11-14 09:26:58,2025-11-14,23
93610193,Paris 17e - 86 m² - 4 pièces - 3 chambres,899 000 €,Metro Pont Cardinet · Rue Christine de Pisan,2025-11-14T09:25:38.000Z,2025-11-14 09:25:38,2025-11-14,23
87075996,Paris 8e - 63 m² - 3 pièces - 1 chambres,800 000 €,Paris 8e (75008),2025-11-14T09:13:58.000Z,2025-11-14 09:13:58,2025-11-14,23
93611447,Paris 13e - 100 m² - 4 pièces - 2 chambres,1 300 000 €,Paris 13e (75013),2025-11-14T09:09:08.000Z,2025-11-14 09:09:08,2025-11-14,23
93611137,Paris 10e - 96 m² - 5 pièces - 3 chambres,1 075 000 €,Metro Goncourt,2025-11-14T08:55:29.000Z,2025-11-14 08:55:29,2025-11-14,23
93610478,Paris 16e - 72 m² - 3 pièces - 2 chambres,1 300 000 €,Metro Charles de Gaulle-Etoile · 22 Avenue Victor Hugo,2025-11-14T08:32:03.000Z,2025-11-14 08:32:03,2025-11-14,23
93610074,Paris 7e - 65 m² - 3 pièces - 2 chambres,1 180 000 €,Metro Vaneau,2025-11-14T08:20:54.000Z,2025-11-14 08:20:54,2025-11-14,23
93609098,Paris 11e - 83 m² - 3 pièces - 2 chambres,730 000 €,Metro Voltaire · 45 Rue Sedaine,2025-11-14T08:06:02.000Z,2025-11-14 08:06:02,2025-11-14,23
93466759,Paris 20e - 34 m² - 2 pièces - 1 chambres,315 000 €,Metro Maraîchers,2025-11-14T07:43:35.000Z,2025-11-14 07:43:35,2025-11-14,23
93605001,Paris 18e - 72 m² - 3 pièces - 2 chambres,600 000 €,Paris 18e (75018),2025-11-14T05:47:58.000Z,2025-11-14 05:47:58,2025-11-14,23
93604699,Paris 19e - 39 m² - 3 pièces - 1 chambres,380 000 €,Metro Buttes-Chaumont,2025-11-14T05:41:12.000Z,2025-11-14 05:41:12,2025-11-14,23
93604696,Paris 18e - 52 m² - 2 pièces - 1 chambres,620 000 €,Paris 18e (75018),2025-11-14T05:41:12.000Z,2025-11-14 05:41:12,2025-11-14,23
93604638,Paris 4e - 104 m² - 6 pièces - 3 chambres,1 299 000 €,Metro Saint-Paul,2025-11-14T05:41:11.000Z,2025-11-14 05:41:11,2025-11-14,23
93531874,Paris 19e - 71 m² - 3 pièces - 2 chambres,566 500 €,Metro Buttes-Chaumont,2025-11-14T05:03:10.000Z,2025-11-14 05:03:10,2025-11-14,23
93471149,Paris 10e - 121 m² - 6 pièces - 3 chambres,1 540 000 €,Metro Sentier · 3 bis Rue Papin,2025-11-14T04:33:51.000Z,2025-11-14 04:33:51,2025-11-14,23
93598497,Paris 7e - 106 m² - 4 pièces - 2 chambres,1 550 000 €,Metro Champ de Mars · Rue du Général Lambert,2025-11-14T02:23:43.000Z,2025-11-14 02:23:43,2025-11-14,23
93597722,Paris 17e - 70 m² - 4 pièces - 3 chambres,750 000 €,Metro Pereire,2025-11-14T01:23:12.000Z,2025-11-14 01:23:12,2025-11-14,23
93597528,Paris 20e - 61 m² - 3 pièces - 2 chambres,585 000 €,Metro Porte de Montreuil · 15 Rue du Clos,2025-11-14T01:15:07.000Z,2025-11-14 01:15:07,2025-11-14,23
86835212,Paris 20e - 70 m² - 3 pièces - 2 chambres,850 000 €,Metro Pyrénées,2025-11-13T23:47:43.000Z,2025-11-13 23:47:43,2025-11-13,23
93377562,Paris 18e - 58 m² - 3 pièces - 2 chambres,682 500 €,Metro Jules Joffrin · 118 Rue Caulaincourt,2025-11-13T23:41:56.000Z,2025-11-13 23:41:56,2025-11-13,23
93591253,Paris 9e - 119 m² - 5 pièces - 3 chambres,1 650 000 €,Metro Notre-Dame de Lorette · Rue Blanche,2025-11-13T21:20:06.000Z,2025-11-13 21:20:06,2025-11-13,23
